Shape,Color,Layout_X,Layout_Y,Style,User_Gaze_X,User_Gaze_Y,Timestamp,Interaction_Type
Square,"RGB(255,0,0)",2,0,Retro,0.9621725484745419,0.350587558806597,2025-01-01 00:00:19,Click
Circle,"RGB(0,0,255)",3,1,Retro,0.37487057952370406,0.5899176868546331,2025-01-01 00:00:20,Click
Triangle,"RGB(0,255,0)",2,0,Modern,0.28571208628186073,0.3922440450997323,2025-01-01 00:00:21,Drag
Square,"RGB(0,255,255)",0,4,Minimal,0.8685991281894603,0.43747492202372906,2025-01-01 00:00:22,Drag
Triangle,"RGB(255,255,0)",0,4,Minimal,0.22359583851945264,0.9041586944937484,2025-01-01 00:00:23,Hover
Triangle,"RGB(0,255,0)",3,0,Retro,0.9632225394406113,0.34825546702330035,2025-01-01 00:00:24,Click
Circle,"RGB(255,255,0)",3,4,Minimal,0.012154474689816341,0.5139894891598108,2025-01-01 00:00:25,Hover
Triangle,"RGB(0,0,255)",4,4,Retro,0.969878826707639,0.7836530127411431,2025-01-01 00:00:26,Hover
Circle,"RGB(0,0,255)",4,4,Minimal,0.04315991195057611,0.39654278232127016,2025-01-01 00:00:27,Hover
Triangle,"RGB(255,0,0)",2,2,Retro,0.8911431136980711,0.6220867002278735,2025-01-01 00:00:28,Hover
Square,"RGB(0,255,255)",3,3,Minimal,0.5277011090862999,0.8623637087467452,2025-01-01 00:00:29,Click
Triangle,"RGB(255,255,0)",0,1,Modern,0.9929647961193003,0.9495206236576421,2025-01-01 00:00:30,Hover
Circle,"RGB(0,255,0)",4,2,Minimal,0.07379656473539886,0.14707348092903794,2025-01-01 00:00:31,Click
Circle,"RGB(0,0,255)",4,4,Minimal,0.5538542844013208,0.9265876251614944,2025-01-01 00:00:32,Click
Square,"RGB(255,0,0)",0,0,Modern,0.969302535619099,0.4921162930795382,2025-01-01 00:00:33,Drag
Triangle,"RGB(255,0,0)",4,4,Minimal,0.5230978441701488,0.25824438829895835,2025-01-01 00:00:34,Click
Triangle,"RGB(255,255,0)",2,3,Modern,0.6293986381352625,0.4591357562382613,2025-01-01 00:00:35,Drag
Square,"RGB(0,0,255)",3,4,Minimal,0.6957486889846172,0.980032575285477,2025-01-01 00:00:36,Click
Triangle,"RGB(0,255,255)",0,0,Retro,0.45454106476777323,0.4926180939928696,2025-01-01 00:00:37,Click
Triangle,"RGB(0,0,255)",3,3,Retro,0.6275580800840634,0.3287516102875082,2025-01-01 00:00:38,Click
Circle,"RGB(255,255,0)",4,4,Minimal,0.5843143119231002,0.6334008543167258,2025-01-01 00:00:39,Drag
Triangle,"RGB(255,255,0)",4,3,Minimal,0.901158010490989,0.24014561877819307,2025-01-01 00:00:40,Drag
Triangle,"RGB(0,0,255)",0,1,Minimal,0.04544638034145787,0.07586332810866392,2025-01-01 00:00:41,Hover
Square,"RGB(255,255,0)",2,1,Retro,0.2809631895922303,0.12887972191064923,2025-01-01 00:00:42,Drag
Square,"RGB(0,0,255)",1,4,Minimal,0.9504114840765587,0.12804583895777244,2025-01-01 00:00:43,Drag
Circle,"RGB(0,255,0)",0,3,Retro,0.8902637838909163,0.15190269351229435,2025-01-01 00:00:44,Drag
Triangle,"RGB(0,0,255)",1,0,Modern,0.45565675278571294,0.13882717264941014,2025-01-01 00:00:45,Drag
Triangle,"RGB(0,0,255)",1,4,Retro,0.6201325978015367,0.6408747448032146,2025-01-01 00:00:46,Hover
Triangle,"RGB(255,255,0)",2,1,Retro,0.2773811829811327,0.18188008439914483,2025-01-01 00:00:47,Drag
Circle,"RGB(255,255,0)",1,1,Modern,0.1881211597237613,0.3456672833238632,2025-01-01 00:00:48,Click
Circle,"RGB(255,0,0)",1,4,Retro,0.46369840493998216,0.8967884099060118,2025-01-01 00:00:49,Click
Square,"RGB(255,0,0)",2,3,Minimal,0.3533522280260528,0.47396164026287235,2025-01-01 00:00:50,Drag
Circle,"RGB(0,255,0)",1,1,Minimal,0.5836561118508721,0.6675577385210272,2025-01-01 00:00:51,Drag
Triangle,"RGB(255,0,0)",1,3,Retro,0.07773463696498484,0.17231987120162984,2025-01-01 00:00:52,Click
Triangle,"RGB(0,0,255)",1,1,Minimal,0.9743948076661665,0.19228901880867078,2025-01-01 00:00:53,Click
Circle,"RGB(255,255,0)",0,1,Retro,0.9862107444796029,0.04086861626647886,2025-01-01 00:00:54,Hover
Triangle,"RGB(255,0,0)",0,2,Minimal,0.6981617140197451,0.16893506307216455,2025-01-01 00:00:55,Click
Triangle,"RGB(255,0,0)",0,1,Minimal,0.5360963663441204,0.2785903390319586,2025-01-01 00:00:56,Click
Circle,"RGB(0,255,0)",2,0,Retro,0.30952761628632774,0.17701048427674682,2025-01-01 00:00:57,Drag
Circle,"RGB(0,255,0)",4,4,Minimal,0.8137950197069487,0.08870253375705561,2025-01-01 00:00:58,Click
Triangle,"RGB(0,0,255)",1,4,Retro,0.6847311725538793,0.12063587110060081,2025-01-01 00:00:59,Hover
Triangle,"RGB(255,255,0)",1,3,Minimal,0.1626169393448913,0.46077876803272577,2025-01-01 00:01:00,Click
Triangle,"RGB(0,255,0)",2,1,Minimal,0.9109271844938425,0.2063337184057925,2025-01-01 00:01:01,Drag
Square,"RGB(255,0,0)",1,0,Modern,0.822537242923169,0.36426986104807546,2025-01-01 00:01:02,Drag
Square,"RGB(255,255,0)",0,3,Modern,0.949799913291924,0.5034172708548569,2025-01-01 00:01:03,Click
Square,"RGB(255,255,0)",4,2,Retro,0.72571950838836,0.6903948286293653,2025-01-01 00:01:04,Drag
Circle,"RGB(255,0,0)",3,3,Modern,0.6134151959357899,0.039312139841098936,2025-01-01 00:01:05,Hover
Square,"RGB(0,255,0)",1,3,Retro,0.4182430362906189,0.7994103989090426,2025-01-01 00:01:06,Hover
Circle,"RGB(255,0,0)",0,1,Modern,0.9327284833540133,0.6279003894909078,2025-01-01 00:01:07,Click
Circle,"RGB(255,255,0)",3,2,Minimal,0.8660638895004084,0.08175903194887191,2025-01-01 00:01:08,Click
Square,"RGB(0,255,255)",4,3,Retro,0.04521867010618941,0.8735786241067772,2025-01-01 00:01:09,Click
Square,"RGB(0,255,255)",3,0,Retro,0.026366974497252005,0.9208724005318132,2025-01-01 00:01:10,Drag
Square,"RGB(0,0,255)",0,0,Minimal,0.3764633668780496,0.06107795985486375,2025-01-01 00:01:11,Hover
Triangle,"RGB(255,0,0)",3,4,Retro,0.8105533307818329,0.2768776481472037,2025-01-01 00:01:12,Hover
Square,"RGB(255,0,0)",2,2,Retro,0.9872761293149445,0.8062012797930613,2025-01-01 00:01:13,Drag
Triangle,"RGB(0,0,255)",3,2,Modern,0.15041689110352818,0.7482596903836584,2025-01-01 00:01:14,Hover
Circle,"RGB(0,0,255)",1,4,Retro,0.5941307153521351,0.18452101935637732,2025-01-01 00:01:15,Click
Triangle,"RGB(0,0,255)",1,3,Minimal,0.3808908566310215,0.2093493233367103,2025-01-01 00:01:16,Click
Square,"RGB(255,255,0)",2,2,Modern,0.9699143978146032,0.370472102791382,2025-01-01 00:01:17,Click
Circle,"RGB(255,0,0)",0,0,Modern,0.8421189231357087,0.4845229851910213,2025-01-01 00:01:18,Hover
Circle,"RGB(255,255,0)",1,0,Minimal,0.8383287047111379,0.618254771530296,2025-01-01 00:01:19,Click
Circle,"RGB(0,0,255)",4,1,Minimal,0.4686931597949703,0.3689136395697724,2025-01-01 00:01:20,Drag
Triangle,"RGB(255,0,0)",1,2,Modern,0.4148195023376652,0.4625347161331479,2025-01-01 00:01:21,Drag
Square,"RGB(255,255,0)",1,3,Retro,0.27340707193070624,0.7474709381337565,2025-01-01 00:01:22,Hover
Circle,"RGB(255,255,0)",0,4,Modern,0.056375496650927115,0.0366832028905979,2025-01-01 00:01:23,Drag
Circle,"RGB(0,0,255)",3,4,Minimal,0.8647223762550532,0.25243694434402075,2025-01-01 00:01:24,Drag
Circle,"RGB(255,0,0)",1,3,Modern,0.8129010091300776,0.7133495858845524,2025-01-01 00:01:25,Hover
Triangle,"RGB(0,0,255)",2,1,Minimal,0.9997176732861306,0.8952068376871993,2025-01-01 00:01:26,Click
Triangle,"RGB(255,0,0)",3,4,Modern,0.9966368370739054,0.5116774421156661,2025-01-01 00:01:27,Click
Square,"RGB(0,255,255)",4,2,Retro,0.5554317056026274,0.5321134852653157,2025-01-01 00:01:28,Click
Triangle,"RGB(0,255,0)",0,1,Modern,0.7689874151805105,0.10717201133977605,2025-01-01 00:01:29,Hover
Circle,"RGB(0,255,0)",4,2,Modern,0.944765729882428,0.44741236682345464,2025-01-01 00:01:30,Drag
Square,"RGB(0,255,0)",3,0,Minimal,0.8496473906774115,0.5326172664550232,2025-01-01 00:01:31,Click
Circle,"RGB(0,0,255)",3,1,Minimal,0.24734810174319766,0.24247050363472966,2025-01-01 00:01:32,Click
Circle,"RGB(0,255,255)",3,4,Minimal,0.4505441353100935,0.26924323094938096,2025-01-01 00:01:33,Hover
Triangle,"RGB(255,0,0)",4,1,Modern,0.12915941515149498,0.37728416310462265,2025-01-01 00:01:34,Click
Square,"RGB(255,255,0)",3,1,Retro,0.9540510272587224,0.02007119777772637,2025-01-01 00:01:35,Hover
Triangle,"RGB(255,0,0)",4,1,Minimal,0.60617463445088,0.3220791655831783,2025-01-01 00:01:36,Drag
Triangle,"RGB(255,255,0)",3,1,Minimal,0.22864280550346272,0.21144800699654465,2025-01-01 00:01:37,Hover
Square,"RGB(255,0,0)",2,2,Modern,0.6717006844058567,0.32749735217791465,2025-01-01 00:01:38,Hover
Circle,"RGB(0,255,255)",3,0,Minimal,0.6181282404578958,0.11976213181925122,2025-01-01 00:01:39,Hover
